"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8644","Disposition Question Setup","Sanity Tests","Tue Aug 05 20:42:35 IST 2025","passed","Tue Aug 05 20:42:43 IST 2025","Disposition Question Setup Tests > Disposition Question Creation and Updation","","",""
"","35221","RBL User Creation Test","RBL Tests","Wed Aug 13 12:09:15 IST 2025","failed","Wed Aug 13 12:09:50 IST 2025","RBL - User Creation and Updation Tests","","",""
"","103058","RBL Tabbing System Setup Elements","RBL Tests","Wed Aug 13 12:39:26 IST 2025","passed","Wed Aug 13 12:41:09 IST 2025","RBL - System Setup Tabbing Functionality","RBL/RBL/1_Tabbing.spec.js","",""
"","961","Click on Lead Lost Reason for Update","RBL Tests","Wed Aug 13 12:10:57 IST 2025","passed","Wed Aug 13 12:10:58 IST 2025","RBL - Lead Process Field Setup Tests > RBL Lead Lost Reason Creation and Updation","","",""
"","12192","LeadLostReasonCompleteTest","Sanity Tests","Mon Aug 04 19:12:10 IST 2025","passed","Mon Aug 04 19:12:22 IST 2025","Lead Process Field Setup Tests","","",""
"","106","RBL Lead Stage Setup","RBL Tests","Wed Aug 13 12:10:55 IST 2025","passed","Wed Aug 13 12:10:55 IST 2025","RBL - Lead Process Field Setup Tests > RBL Lead Stage Creation and Updation","","",""
"","3","RBL Update Lead Field Test","RBL Tests","Wed Aug 13 12:10:48 IST 2025","skipped","Wed Aug 13 12:10:48 IST 2025","RBL - Lead Field Setup Tests","","",""
"","7","ClickonLeadLostReasonTest","Sanity Tests","Mon Aug 04 18:16:02 IST 2025","skipped","Mon Aug 04 18:16:02 IST 2025","Lead Process Field Setup Tests","","",""
"","437","RBL Update Category","RBL Tests","Wed Aug 13 12:09:57 IST 2025","skipped","Wed Aug 13 12:09:57 IST 2025","RBL - Category Setup Tests","","",""
"","904","ClickOnLeadStageNavigationTest","Sanity Tests","Mon Aug 04 15:59:57 IST 2025","passed","Mon Aug 04 15:59:58 IST 2025","Lead Navigation Tests","","",""
"","2708","Click on Lead Stage","Sanity Tests","Tue Aug 12 15:48:59 IST 2025","passed","Tue Aug 12 15:49:02 IST 2025","Lead Process Field Setup Tests > Lead Stage Creation and Updation","","",""
"","39","RBL Lead Stage Update","RBL Tests","Wed Aug 13 12:10:55 IST 2025","passed","Wed Aug 13 12:10:55 IST 2025","RBL - Lead Process Field Setup Tests > RBL Lead Stage Creation and Updation","","",""
"","149","Disposition Question Update","Sanity Tests","Tue Aug 05 20:42:46 IST 2025","passed","Tue Aug 05 20:42:46 IST 2025","Disposition Question Setup Tests > Disposition Question Creation and Updation","","",""
"","2831","Click on Lead Status for Update","Sanity Tests","Tue Aug 12 15:49:22 IST 2025","passed","Tue Aug 12 15:49:25 IST 2025","Lead Process Field Setup Tests > Lead Status Creation and Updation","","",""
"","2667","Click on Ticket Type for Update","Sanity Tests","Tue Aug 05 16:33:09 IST 2025","passed","Tue Aug 05 16:33:12 IST 2025","Ticket Process Field Setup Tests > Ticket Type Creation and Updation","","",""
"","1048","modifyCampaignTest","Sanity Tests","Wed Aug 06 20:18:00 IST 2025","failed","Wed Aug 06 20:18:01 IST 2025","Campaign Creation Updation Tests","","",""
"","11471","LeadStatusSetupTest","Sanity Tests","Mon Aug 04 18:58:56 IST 2025","passed","Mon Aug 04 18:59:08 IST 2025","Lead Process Field Setup Tests","","",""
