"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10088","LeadLostReasonSetupTest","Sanity Tests","Mon Aug 04 18:59:08 IST 2025","passed","Mon Aug 04 18:59:18 IST 2025","Lead Process Field Setup Tests","","",""
"","1","RBL User Updation Test","RBL Tests","Wed Aug 13 11:22:54 IST 2025","skipped","Wed Aug 13 11:22:54 IST 2025","RBL - User Creation and Updation Tests","RBL/RBL/A_UsersCreationUpdation.spec.js","",""
"","19","CreateTicketStageTest","Sanity Tests","Mon Aug 04 15:45:06 IST 2025","skipped","Mon Aug 04 15:45:06 IST 2025","Ticket Process (Type, Priority, Stage) Setup Tests","","",""
"","11","RBL Create Category","RBL Tests","Wed Aug 13 11:22:57 IST 2025","passed","Wed Aug 13 11:22:57 IST 2025","RBL - Category Setup Tests","RBL/RBL/B_setupCategory.spec.js","",""
"","2711","Click on Lead Stage for Update","Sanity Tests","Tue Aug 12 15:49:16 IST 2025","passed","Tue Aug 12 15:49:19 IST 2025","Lead Process Field Setup Tests > Lead Stage Creation and Updation","","",""
"","12835","LeadStatusCompleteTest","Sanity Tests","Mon Aug 04 19:11:57 IST 2025","passed","Mon Aug 04 19:12:10 IST 2025","Lead Process Field Setup Tests","","",""
"","149","Disposition Question Update","Sanity Tests","Tue Aug 05 20:42:46 IST 2025","passed","Tue Aug 05 20:42:46 IST 2025","Disposition Question Setup Tests > Disposition Question Creation and Updation","","",""
"","2522","Click on Disposition Question for Update","Sanity Tests","Tue Aug 05 20:42:43 IST 2025","passed","Tue Aug 05 20:42:46 IST 2025","Disposition Question Setup Tests > Disposition Question Creation and Updation","","",""
"","72","Ticket Priority Update","Sanity Tests","Tue Aug 05 16:33:18 IST 2025","passed","Tue Aug 05 16:33:18 IST 2025","Ticket Process Field Setup Tests > Ticket Priority Creation and Updation","","",""
"","2831","Click on Lead Status for Update","Sanity Tests","Tue Aug 12 15:49:22 IST 2025","passed","Tue Aug 12 15:49:25 IST 2025","Lead Process Field Setup Tests > Lead Status Creation and Updation","","",""
"","2271","Click on Lead Lost Reason for Update","Sanity Tests","Tue Aug 12 15:49:31 IST 2025","passed","Tue Aug 12 15:49:33 IST 2025","Lead Process Field Setup Tests > Lead Lost Reason Creation and Updation","","",""
"","2703","Lead Lost Reason Setup","Sanity Tests","Tue Aug 12 15:49:28 IST 2025","passed","Tue Aug 12 15:49:31 IST 2025","Lead Process Field Setup Tests > Lead Lost Reason Creation and Updation","","",""
"","2","RBL Import File Test","RBL Tests","Wed Aug 13 11:24:47 IST 2025","failed","Wed Aug 13 11:24:47 IST 2025","RBL - Import Setup Tests","RBL/RBL/I_setupImportTest.spec.js","",""
